interval,start,end
b1i1,0.0,0.046875
b1i2,0.046875,0.328125
b1i3,0.328125,0.421875
b1i4,0.421875,0.703125
b1i5,0.703125,0.796875
b1i6,0.796875,1.078125
b1i7,1.078125,1.171875
b1i8,1.171875,1.359375
b1i9,1.359375,1.453125
b1i10,1.453125,1.546875
b1i11,1.546875,1.828125
b1i12,1.828125,1.921875
b1i13,1.921875,2.203125
b1i14,2.203125,2.296875
b1i15,2.296875,2.578125
b1i16,2.578125,2.671875
b1i17,2.671875,2.859375
b1i18,2.859375,2.953125
b1i19,2.953125,3.046875
b1i20,3.046875,3.328125
b1i21,3.328125,3.421875
b1i22,3.421875,3.703125
b1i23,3.703125,3.796875
b1i24,3.796875,4.078125
b1i25,4.078125,4.171875
b1i26,4.171875,4.359375
b1i27,4.359375,4.453125
b1i28,4.453125,4.546875
b1i29,4.546875,4.828125
b1i30,4.828125,4.921875
b1i31,4.921875,5.203125
b1i32,5.203125,5.296875
b1i33,5.296875,5.578125
b1i34,5.578125,5.671875
b1i35,5.671875,5.859375
b1i36,5.859375,5.953125
b2i1,5.953125,6.046875
b2i2,6.046875,6.328125
b2i3,6.328125,6.421875
b2i4,6.421875,6.703125
b2i5,6.703125,6.796875
b2i6,6.796875,7.078125
b2i7,7.078125,7.171875
b2i8,7.171875,7.359375
b2i9,7.359375,7.453125
b2i10,7.453125,7.546875
b2i11,7.546875,7.828125
b2i12,7.828125,7.921875
b2i13,7.921875,8.203125
b2i14,8.203125,8.296875
b2i15,8.296875,8.578125
b2i16,8.578125,8.671875
b2i17,8.671875,8.859375
b2i18,8.859375,8.953125
b2i19,8.953125,9.046875
b2i20,9.046875,9.328125
b2i21,9.328125,9.421875
b2i22,9.421875,9.703125
b2i23,9.703125,9.796875
b2i24,9.796875,10.078125
b2i25,10.078125,10.171875
b2i26,10.171875,10.359375
b2i27,10.359375,10.453125
b2i28,10.453125,10.546875
b2i29,10.546875,10.828125
b2i30,10.828125,10.921875
b2i31,10.921875,11.203125
b2i32,11.203125,11.296875
b2i33,11.296875,11.578125
b2i34,11.578125,11.671875
b2i35,11.671875,11.859375
b2i36,11.859375,11.953125
b3i1,11.953125,12.043279629166667
b3i2,12.043279629166667,12.309429757291666
b3i3,12.309429757291666,12.39781782395833
b3i4,12.39781782395833,12.663685396874998
b3i5,12.663685396874998,12.751586810416663
b3i6,12.751586810416663,13.014778457291662
b3i7,13.014778457291662,13.09540842604166
b3i8,13.09540842604166,13.254599998958328
b3i9,13.254599998958328,13.334551759374994
b3i10,13.334551759374994,13.41384780104166
b3i11,13.41384780104166,13.65327163229166
b3i12,13.65327163229166,13.732713109374991
b3i13,13.732713109374991,13.971338786458324
b3i14,13.971338786458324,14.045967766666658
b3i15,14.045967766666658,14.26411769479166
b3i16,14.26411769479166,14.33665213541666
b3i17,14.33665213541666,14.48148992916666
b3i18,14.48148992916666,14.55379636666666
b3i19,14.55379636666666,14.62563930416666
b3i20,14.62563930416666,14.843168224999994
b3i21,14.843168224999994,14.91556091041666
b3i22,14.91556091041666,15.122081456249996
b3i23,15.122081456249996,15.188200278125
b3i24,15.188200278125,15.387650621875002
b3i25,15.387650621875002,15.454503278125005
b3i26,15.454503278125005,15.587100371875003
b3i27,15.587100371875003,15.653952940625002
b3i28,15.653952940625002,15.719359784375005
b3i29,15.719359784375005,15.918913368750005
b3i30,15.918913368750005,15.986161411458337
b3i31,15.986161411458337,16.173197625000004
b3i32,16.173197625000004,16.234922296875002
b3i33,16.234922296875002,16.421411973958335
b3i34,16.421411973958335,16.482986411458334
b3i35,16.482986411458334,16.60730123958333
b3i36,16.60730123958333,16.669028346874995
b4i1,16.669028346874995,16.729476764583328
b4i2,16.729476764583328,16.90416512708333
b4i3,16.90416512708333,16.962535983333332
b4i4,16.962535983333332,17.137111004166666
b4i5,17.137111004166666,17.195456347916668
b4i6,17.195456347916668,17.369981563541675
b4i7,17.369981563541675,17.428310753125007
b4i8,17.428310753125007,17.544258858333343
b4i9,17.544258858333343,17.60282812708334
b4i10,17.60282812708334,17.66116499270834
b4i11,17.66116499270834,17.826399628125003
b4i12,17.826399628125003,17.88012336666667
b4i13,17.88012336666667,18.043740966666675
b4i14,18.043740966666675,18.097562573958346
b4i15,18.097562573958346,18.26055810520834
b4i16,18.26055810520834,18.31449335520833
b4i17,18.31449335520833,18.422675319791672
b4i18,18.422675319791672,18.47780907812501
b4i19,18.47780907812501,18.53185947708334
b4i20,18.53185947708334,18.69464292187501
b4i21,18.69464292187501,18.745326705208345
b4i22,18.745326705208345,18.898079488541672
b4i23,18.898079488541672,18.948939829166672
b4i24,18.948939829166672,19.10137532083333
b4i25,19.10137532083333,19.15242222708333
b4i26,19.15242222708333,19.254020414583334
b4i27,19.254020414583334,19.30457491458333
b4i28,19.30457491458333,19.35580665625
b4i29,19.35580665625,19.507708501041662
b4i30,19.507708501041662,19.558307010416662
b4i31,19.558307010416662,19.71081485937499
b4i32,19.71081485937499,19.759154433333325
b4i33,19.759154433333325,19.904943507291662
b4i34,19.904943507291662,19.95352138229166
b4i35,19.95352138229166,20.05105696875
b4i36,20.05105696875,20.100012518749992
b5i1,20.100012518749992,20.147229206249992
b5i2,20.147229206249992,20.28726727291666
b5i3,20.28726727291666,20.3339444
b5i4,20.3339444,20.473197972916665
b5i5,20.473197972916665,20.520142504166667
b5i6,20.520142504166667,20.660206504166663
b5i7,20.660206504166663,20.706642160416667
b5i8,20.706642160416667,20.79991181458333
b5i9,20.79991181458333,20.845975939583333
b5i10,20.845975939583333,20.89268658125
b5i11,20.89268658125,21.03284053125
b5i12,21.03284053125,21.07906584270833
b5i13,21.07906584270833,21.214015065625
b5i14,21.214015065625,21.25826593229167
b5i15,21.25826593229167,21.39035519791667
b5i16,21.39035519791667,21.434164696875
b5i17,21.434164696875,21.522201786458336
b5i18,21.522201786458336,21.56642728645834
b5i19,21.56642728645834,21.61054544270834
b5i20,21.61054544270834,21.74226053645833
b5i21,21.74226053645833,21.78668201666667
b5i22,21.78668201666667,21.918595237500003
b5i23,21.918595237500003,21.962598662500007
b5i24,21.962598662500007,22.09471804166668
b5i25,22.09471804166668,22.13831825937501
b5i26,22.13831825937501,22.22165551875001
b5i27,22.22165551875001,22.263536484375013
b5i28,22.263536484375013,22.306031359375016
b5i29,22.306031359375016,22.431534153125018
b5i30,22.431534153125018,22.473650465625017
b5i31,22.473650465625017,22.59943973750001
b5i32,22.59943973750001,22.64118742500001
b5i33,22.64118742500001,22.76658261041668
b5i34,22.76658261041668,22.80866245937501
b5i35,22.80866245937501,22.892551498958344
b5i36,22.892551498958344,22.934361852083345
b6i1,22.934361852083345,22.97540326354168
b6i2,22.97540326354168,23.09527924687501
b6i3,23.09527924687501,23.13529961354168
b6i4,23.13529961354168,23.255537964583343
b6i5,23.255537964583343,23.295902308333343
b6i6,23.295902308333343,23.415833752083344
b6i7,23.415833752083344,23.455873252083347
b6i8,23.455873252083347,23.53571247083336
b6i9,23.53571247083336,23.57551315833335
b6i10,23.57551315833335,23.615896235416685
